简码：aq	安全
简码：bylh	不亦乐乎
简码：bylq	饱以老拳
简码：bylv	比翼连枝
简码：bynn	比翼鸟
简码：byns	布宜诺斯艾利斯
简码：byqi	变压器
简码：byqf	不厌其烦
简码：bysg	半夜三更
简码：bytc	避孕套
简码：bytd	别有天地
简码：bytu	白衣天使
简码：byuo	不要说
简码：byuf	比翼双飞
简码：byuu	布衣蔬食
简码：byug	毕业生
简码：byvi	不一致
简码：byvc	不义之财
简码：byvj	布衣之交
简码：byvl	必由之路
简码：byvp	不予置评
简码：byw	被誉为
简码：bywi	不以为耻
简码：bywl	不远万里
简码：bywr	不以为然
简码：bywx	白玉无瑕
简码：bywy	不以为意
简码：byx	不允许
简码：byxl	不影响
简码：byxh	闭月羞花
简码：byxk	必要性
简码：byxp	不用谢
简码：byxu	便宜行事
简码：byy	不一样
简码：byyi	不愿意
简码：byyd	不一样的
简码：byyl	不遗余力
简码：byyu	不亚于
简码：byyx	别有用心
简码：byzu	布依族
简码：byzo	白羊座
简码：byzv	不由自主
简码：bzbw	不早不晚
简码：bzcl	不在此列
简码：bzgi	不足挂齿
简码：bzhu	不在乎
简码：bzhx	不在话下
简码：bzig	不赞成
简码：bzih	不在场
简码：bzjx	不在家
简码：bzku	不做亏心事
简码：bzle	不早了
简码：bzll	不自量力
简码：bzlu	笔走龙蛇
简码：bzlj	憋足了劲
简码：bzme	不怎么
简码：bzmy	不怎么样
简码：bzmi	败走麦城
简码：bzmp	八字没一撇
简码：bzmq	摆在面前
简码：bzns	抱子弄孙
简码：bzqu	不足取
简码：bzqw	不在其位
简码：bzrj	不自然
简码：bzrc	不遭人妒是庸才
简码：bzuo	不早说
简码：bzud	不择手段
简码：bzui	不再是
简码：bzug	不吱声
简码：bzvi	不足之处
简码：bzww	不作为
简码：bzwd	不足为外人道
简码：bzwj	不足为据
简码：bzwl	不足为虑
简码：bzwp	不足为凭
简码：bzwq	不足为奇
简码：bzwx	不足为训
简码：bzwg	不足为怪
简码：bzwu	包在我身上
简码：bzxg	奔走相告
简码：bzy	不在意
简码：bzyi	不足以
简码：bzyu	不在于
简码：bzym	不足与谋
简码：bzjt	不自觉
简码：bzzd	不自在
简码：cn	才能
简码：cw	错误
简码：cq	采取
简码：ck	参考
简码：cl	从来
简码：cm	聪明
简码：cb	从不
简码：ct	从头
简码：cx	才行
简码：cp	存盘
简码：cahv	残奥会
简码：cbbr	残暴不仁
简码：cbbj	残兵败将
简码：cbbl	寸步不离
简码：cbcg	从不曾
简码：cbdc	猜不到
简码：cbdj	残编断简
简码：cbdy	词不达意
简码：cbjf	猝不及防
简码：cbln	错不了
简码：cbui	才不是
简码：cbqq	擦边球
简码：cblv	残杯冷炙
简码：cbnx	寸步难行
简码：cbrd	惨不忍睹
简码：cbwh	慈悲为怀
简码：cbzi	错别字
简码：ccbd	措辞不当
简码：ccbl	寸草不留
简码：ccbq	参差不齐
简码：ccbu	寸草不生
简码：cccl	参差错落
简码：cclu	草草了事
简码：ccmm	匆匆忙忙
简码：ccpb	残次品
简码：ccrn	凑凑热闹
简码：ccui	草草收场
简码：ccuw	草草收尾
简码：ccyh	从此以后
简码：cddx	从大到小
简码：cdqc	财大气粗
简码：cdwl	此地无银三百两
简码：cdwy	此地无银
简码：cfsl	餐风宿露
简码：cfyl	餐风饮露
简码：cgbd	才高八斗
简码：cgdj	从古到今
简码：cgjp	踩过界
简码：cgle	错过了
简码：cglv	残羹冷炙
简码：cguf	残羹剩饭
简码：cgvj	从古至今
简码：cgww	菜过五味
简码：cgyh	挫骨扬灰
简码：chbl	残花败柳
简码：chdd	采花大盗
简码：chel	从何而来
简码：chgr	聪慧过人
简码：chhy	才华横溢
简码：chit	仓皇出逃
简码：chiv	才华出众
简码：chji	催化剂
简码：chl	词汇量
简码：chnf	错恨难返
简码：chst	沧海桑田
简码：chuc	仓皇失措
简码：chuq	从何说起
简码：chys	沧海一粟
简码：chyv	沧海遗珠
简码：chyx	存乎一心
简码：chzj	此话怎讲
简码：cibh	此唱彼和
简码：cibq	层出不穷
简码：cidf	粗茶淡饭
简码：cijy	从长计议
简码：cijj	草船借箭
简码：ciyk	从长远看
简码：cjch	曾经沧海
简码：cjcu	曾经沧海难为水
简码：cjeg	擦肩而过
简码：cjhu	曾几何时
简码：cjrh	惨绝人寰
简码：cjrl	从谏如流
简码：cjrm	草菅人命
简码：cjtq	从今天起
简码：cjtu	从今天开始
简码：cjwh	从今往后
简码：cjxk	刺激性
简码：cjyh	从今以后
简码：cjyx	辞旧迎新
简码：cjzy	促进作用
简码：cklx	摧枯拉朽
简码：ckng	才可能
简码：clbu	从来不
简码：clbt	此路不通
简码：clby	从来不用
简码：clbi	错漏百出
简码：clca	擦了擦
简码：cldj	催泪弹
简码：cldm	灿烂夺目
简码：clhh	灿烂辉煌
简码：clku	从零开始
简码：clmy	从来没有
简码：clwh	藏龙卧虎
简码：clyv	错落有致
简码：cmcv	聪明才智
简码：cmeu	侧目而视
简码：cmjb	草木皆兵
简码：cmjd	聪明绝顶
简码：cmfw	聪明反被聪明误
简码：cmqu	催眠曲
简码：cmll	聪明伶俐
简码：cmtu	从明天开始
简码：cmtq	从明天起
简码：cmum	慈眉善目
简码：cmuq	才貌双全
简码：cmvy	摧眉折腰
简码：cmxq	财迷心窍
简码：cmxl	猜枚行令
简码：cmyz	从没有
简码：cmyb	策马扬鞭
简码：cmyu	聪明一世
简码：cmyx	草莽英雄
简码：cmyg	从没有过
简码：cngz	才能够
简码：cnyh	从那以后
简码：cpdj	残篇断简
简码：cpgu	擦屁股
简码：cqbf	此起彼伏
简码：cqbq	残缺不全
简码：cqgr	才气过人
简码：cqld	藏起来
简码：cqxl	猜拳行令
简码：cqyv	藏巧于拙
简码：cqzh	擦枪走火
简码：crbp	从容不迫
简码：crfx	灿若繁星
简码：crfj	催人奋进
简码：crjy	从容就义
简码：crlx	催人泪下
简码：crnc	凑热闹
简码：cryd	从容应对
简码：cscb	苍松翠柏
简码：csju	财色兼收
简码：cskk	沧桑坎坷
简码：csmj	才思敏捷
简码：ctbr	寸土不让
简码：ctbv	寸土必争
简码：ctdw	从头到尾
简码：ctej	从天而降
简码：ctku	从头开始
简码：ctlw	藏头露尾
简码：ctlg	从头来过
简码：ctsy	蹉跎岁月
简码：ctwm	粗通文墨
简码：ctzi	醋坛子
简码：ctzl	从头再来
简码：ctzu	苍天在上
简码：cub	测试版
简码：cubj	措手不及
简码：cucd	此时此地
简码：cuck	此时此刻
简码：cudx	从上到下
简码：cugr	才识过人
简码：cujc	错上加错
简码：cujt	蚕食鲸吞
简码：culj	错失良机
简码：cuqj	厕身其间
简码：curl	从善如流
简码：cuvd	藏身之地
简码：cuvv	从始至终
简码：cuwu	此时无声胜有声
简码：cuxq	才疏学浅
简码：cuzh	次生灾害
简码：cvdy	粗枝大叶
简码：cvgj	操之过急
简码：cvju	财政局
简码：cvlz	粗制滥造
简码：cvy	侧重于
简码：cvyl	从中渔利
简码：cvyn	残渣余孽
简码：cvyx	粗中有细
简码：cvyv	藏着掖着
简码：cvzg	从中作梗
简码：cwbi	错误百出
简码：cwdy	从无到有
简码：cwjg	从未见过
简码：cwjx	存亡绝续
简码：cwng	藏污纳垢
简码：cwrd	惨无人道
简码：cwyg	从未有过
简码：cxdy	粗心大意
简码：cxdd	从小到大
简码：cxfu	磁悬浮
简码：cxny	藏形匿影
简码：cxql	才想起来
简码：cxtx	促膝谈心
简码：cxzu	从现在开始
简码：cybj	搓衣板
简码：cyby	采阴补阳
简码：cycd	猜一猜
简码：cydu	参与度
简码：cydb	残垣断壁
简码：cybd	苍蝇不叮无缝的蛋
简码：cyev	从一而终
简码：cygj	财源广进
简码：cygg	财源滚滚
简码：cyht	财运亨通
简码：cyiy	此言差矣
简码：cykn	才有可能
简码：cyku	从一开始
简码：cylz	呲牙咧嘴
简码：cypf	村野匹夫
简码：cyvx	恻隐之心
简码：czdw	从早到晚
简码：czfz	错综复杂
简码：czgj	存在感
简码：czjr	才子佳人
简码：czjx	踩在脚下
简码：czlp	错字连篇
简码：cznj	藏踪蹑迹
简码：czqj	厕足其间
简码：cztd	操作台
简码：cztl	惨遭屠戮
简码：czxt	操作系统
简码：db	代表
简码：df	地方
简码：dx	东西
简码：dl	到了
简码：dt	代替
简码：dazu	德昂族
简码：dbbp	打抱不平
简码：dbcy	断壁残垣
简码：dbdv	对不对
简码：dbds	动不动
简码：dbdl	大包大揽
简码：dbdc	达不到
简码：dbdd	得不到的
简码：dbi	打不出
简码：dbil	打不出来
简码：dbiy	大病初愈
简码：dbff	大部分
简码：dbfr	大部分人
简码：dbgt	对簿公堂
简码：dbhv	都不会
简码：dbiu	得不偿失
简码：dbji	等不及
简码：dbjq	低不就
简码：dbkd	打不开
简码：dbku	大败亏输
简码：dbln	大不了
简码：dbld	大不列颠
简码：dblx	大步流星
简码：dbmk	道不明
简码：dbmv	淡泊明志
简码：dbml	淡泊名利
简码：dbnm	大半年
简码：dbqi	对不起
简码：dbqj	调兵遣将
简码：dbru	倒不如
简码：dbrl	倒背如流
简码：dbrq	大不如前
简码：dbrw	代表人物
简码：dbry	东边日出西边雨
简码：dbt	大白天
简码：dbth	大白天说梦话
简码：dbtm	道不同不相为谋
简码：dbts	打不通
简码：dbtx	独步天下
简码：dbui	倒不是
简码：dbuh	对不上号
简码：dbux	待办事项
简码：dbuu	多不胜数
简码：dbvu	对不住
简码：dbvi	蛋白质
简码：dbvd	都不知道
简码：dbvs	打不着狐狸惹身骚
简码：dbxk	代表性
简码：dbxj	短兵相接
简码：dbxl	电冰箱
简码：dbxp	东奔西跑
简码：dbxz	东奔西走
简码：dbyk	大本营
简码：dbyf	大饱眼福
简码：dbye	大半夜
简码：dbyi	大病一场
简码：dbyu	独步一时
简码：dbyd	倒不一定
简码：dbyy	都不一样
简码：dbzo	代表作
简码：dbzl	蹬鼻子上脸
简码：dcdy	多才多艺
简码：dcdb	大慈大悲
简码：dcjb	德才兼备
简码：dcji	得寸进尺
简码：dcl	打错了
简码：dclp	打错了算盘
简码：dctc	大错特错
简码：dcwv	到此为止
简码：dcxy	大材小用
简码：dcyr	大草原
简码：ddbd	当断不断
简码：ddbh	多多包涵
简码：ddbr	咄咄逼人
简码：ddbt	胆大包天
简码：ddbv	多多保重
简码：ddbx	喋喋不休
简码：ddcc	躲躲藏藏
简码：dddd	点点滴滴
简码：dddq	大敌当前
简码：dddx	独断独行
简码：ddff	大大方方
简码：ddfh	单刀赴会
简码：ddgg	大动干戈
简码：ddgv	多多关照
简码：ddgu	咄咄怪事
简码：ddhx	打电话
简码：ddhl	堵得慌
简码：ddhb	颠倒黑白
简码：ddhe	丹顶鹤
简码：ddhf	打道回府
简码：ddhr	打得火热
简码：ddiu	大打出手
简码：ddix	得道成仙
简码：ddie	电动车
简码：ddjv	点到即止
简码：ddkf	大刀阔斧
简码：ddl	得到了
简码：ddll	大大咧咧
简码：ddls	道德沦丧
简码：ddlw	躲得了初一躲不过十五
简码：ddmm	弟弟妹妹
简码：ddnn	打打闹闹
简码：ddpc	电灯泡
简码：ddqi	对得起
简码：ddqf	跌宕起伏
简码：ddqk	颠倒乾坤
简码：ddqq	的的确确
简码：ddrl	对答如流
简码：ddss	哆哆嗦嗦
简码：ddt	点点头
简码：dduf	颠倒是非
简码：dduy	地动山摇
简码：ddur	大多数人
简码：ddv	多动症
简码：ddvf	当地政府
简码：ddvk	大打折扣
简码：ddvr	单刀直入
简码：ddvv	兜兜转转
简码：ddvx	独断专行
简码：ddvj	多多指教
简码：ddwb	地大物博
简码：ddwx	当代文学
简码：ddwv	点到为止
简码：ddwf	东帝汶
简码：ddxc	东躲西藏
简码：ddxi	代代相传
简码：ddxw	东倒西歪
简码：ddxx	断断续续
简码：ddym	独当一面
简码：ddyp	倒打一耙
简码：debm	第二遍
简码：debf	当耳边风
简码：debx	大恩不言谢
简码：deci	第二次
简码：dedd	大恩大德
简码：dege	第二个
简码：dehv	大而化之
简码：deld	吊儿郎当
简码：dely	第二轮
简码：demk	第二名
简码：depf	当耳旁风
简码：deqr	大而全
简码：detm	第二天
简码：deta	德尔塔
简码：deww	淡而无味
简码：deye	第二页
简码：deyj	第二眼
简码：dfbc	电饭煲
简码：dfbl	东方不亮西方亮
简码：dfcb	大发慈悲
简码：dfdu	大幅度
简码：dfdg	大富大贵
简码：dfdl	大风大浪
简码：dfdj	巅峰对决
简码：dfhs	东方红
简码：dfhv	洞房花烛
简码：dfhy	洞房花烛夜
简码：dfjc	大放厥词
简码：dflt	大发雷霆
简码：dfmm	单方面
简码：dfnc	豆腐脑
简码：dfpp	大腹便便
简码：dfsw	答非所问
简码：dfu	电风扇
简码：dfuj	打发时间
简码：dfuy	大幅上扬
简码：dfuu	大幅上升
简码：dfuv	大幅上涨
简码：dfva	豆腐渣
简码：dfvj	大方之家
简码：dfvv	大费周章
简码：dfvf	地方政府
简码：dfvi	豆腐渣工程
简码：dfww	大范围
简码：dfxk	地方性
简码：dfxd	大幅下跌
简码：dfxc	大幅下挫
简码：dfxj	大幅下降
简码：dfyc	大放异彩
简码：dfyf	东风压倒西风
简码：dfyw	荡妇淫娃
简码：dfzr	道法自然
简码：dfzj	登峰造极
简码：dfzy	毒副作用
简码：dgb	打个包
简码：dgbf	打个比方
简码：dgbv	丢官罢职
简码：dgdh	打个电话
简码：dgfj	大锅饭
简码：dggx	顶呱呱
简码：dggi	大功告成
简码：dghu	电光火石
简码：dghr	打狗还得看主人
简码：dgiy	胆固醇
简码：dgjy	刀光剑影
简码：dglv	大概率
简码：dgmo	大规模
简码：dgn	多功能
简码：dgng	渡过难关
简码：dgql	打官腔
简码：dgqg	得过且过
简码：dgrx	地广人稀
简码：dgs	打官司
简码：dgvy	帝国主义
简码：dgvm	达观知命
简码：dgws	大公无私
简码：dgwv	德高望重
简码：dgxu	多管闲事
简码：dgxg	达官显贵
简码：dgyh	登高一呼
简码：dgyi	道高一尺
简码：dgzy	打躬作揖
简码：dhdj	大喊大叫
简码：dhdl	大红大绿
简码：dhdz	大红大紫
简码：dhe	等会儿
简码：dher	待会儿
简码：dhgj	读后感
简码：dhhh	灯火辉煌
简码：dhhu	大好河山
简码：dhhm	电话号码
简码：dhhy	电话会议
简码：dhi	大合唱
简码：dhie	打黑除恶
简码：dhjl	灯红酒绿
简码：dhjv	刁滑奸诈
简码：dhll	大汗淋漓
简码：dhlt	大祸临头
简码：dhlv	大海捞针
简码：dhlj	德黑兰
简码：dhqu	大获全胜
简码：dhqd	打虎亲兄弟
简码：dhrz	对号入座
简码：dhso	导火索
简码：dhug	大好时光
简码：dhuv	定海神针
简码：dhxj	大呼小叫
简码：dibf	低成本
简码：didl	大吹大擂
简码：didw	大彻大悟
简码：difl	大吹法螺
简码：dihj	倒春寒
简码：dikx	东床快婿
简码：dil	洞察力
简码：diqj	洞察其奸
简码：disy	得偿所愿
简码：ditm	底朝天
简码：diuf	东窗事发
简码：dixc	冬虫夏草
简码：dixj	雕虫小技
简码：diyp	打成一片
简码：diyv	达成一致
简码：djbf	打击报复
简码：djcw	低级错误
简码：djdg	对酒当歌
简码：djdq	大江东去
简码：djeg	待价而沽
简码：djff	大家风范
简码：djfy	刀锯斧钺
简码：djgl	大驾光临
简码：djgx	大家闺秀
简码：djh	大家好
简码：djhy	独具慧眼
简码：djif	打简出繁
简码：djjl	殚精竭虑
简码：djld	当机立断
简码：djlj	弹尽粮绝
简码：djnb	大江南北
简码：djqw	低级趣味
简码：djru	堆积如山
简码：djt	第几天
简码：djti	地久天长
简码：dju	倒计时
简码：djup	担惊受怕
简码：djus	大惊失色
简码：djvb	点睛之笔
简码：djvm	当局者迷
简码：djwv	大局为重
简码：djxg	大惊小怪
简码：djxx	大街小巷
简码：djxm	对角线
简码：djyd	大局已定
简码：djyg	独具一格
简码：djzv	当家做主
简码：djdx	东京大学
简码：dkbb	大可不必
简码：dkdy	大快朵颐
简码：dkfm	大开方便之门
简码：dkhu	多快好省
简码：dkl	抵抗力
简码：dkld	大开绿灯
简码：dkle	多亏了
简码：dkn	都可能
简码：dknh	豆蔻年华
简码：dkqj	丢盔弃甲
简码：dkrx	大快人心
简码：dktx	刀口舔血
简码：dkth	打开天窗说亮话
简码：dkuj	大开杀戒
简码：dkvd	待客之道
简码：dkwv	大块文章
简码：dkxj	丢盔卸甲
简码：dkyj	大开眼界
简码：dlba	得了吧
简码：dlbr	得理不饶人
简码：dlbl	的黎波里
简码：dlby	得来不易
简码：dlcu	大老粗
简码：dldo	多伦多
简码：dldd	多劳多得
简码：dldf	颠鸾倒凤
简码：dldq	颠来倒去
简码：dldw	独来独往
简码：dlet	夺路而逃
简码：dlfs	独领风骚
简码：dlgj	第六感
简码：dlhg	度量衡
简码：dlhd	雕梁画栋
简码：dljy	邓丽君
简码：dljx	打了鸡血
简码：dlle	带来了
简码：dlmm	对立面
简码：dlmb	顶礼膜拜
简码：dlpg	得了便宜还卖乖
简码：dlqu	多了去
简码：dlql	多了去了
简码：dlqf	得来全不费工夫
简码：dlqg	等量齐观
简码：dlrf	代理人
简码：dlrh	地利人和
简码：dltm	大冷天
